comment,comment_clean,polarity,category
cue the wwe smackdown theme,cue the wwe smackdown theme,0.0,negative
Finally someone who speaks like a leader not a cartoon.,Finally someone who speaks like a leader not a cartoon,0.0,negative
I am overwhelmed to testify that this paid me .. I didn’t believe it not until i have my first real withdrawals with manager LISA,I am overwhelmed to testify that this paid me  I didnt believe it not until i have my first real withdrawals with manager LISA,0.225,positive
Thanks Y'all 😘 for your supports,Thanks Yall  for your supports,0.2,positive
Wellcome back America!! Greetings from Germany susan,Wellcome back America Greetings from Germany susan,0.0,negative
0:19 he moves like a GTA character!, he moves like a GTA character,0.0,negative
You know that Trump has lowered the bar when everyone in the comments is happy that Biden talks like an actual president and not like 5 year old.,You know that Trump has lowered the bar when everyone in the comments is happy that Biden talks like an actual president and not like  year old,0.3,positive
You know that it’s a special day when you’re not even American and still got goosebumps when harris announced joe,You know that its a special day when youre not even American and still got goosebumps when harris announced joe,0.17857142857142858,positive
"""I see no red states or blue states, only united states"", this is how a president talks!",I see no red states or blue states only united states this is how a president talks,0.0,negative
Bravo.......,Bravo,0.0,negative
hhhh he looks cute with his little mask on,hhhh he looks cute with his little mask on,0.15625,positive
I've forgotten what it's like to listen to a President who speaks in complete sentences.,Ive forgotten what its like to listen to a President who speaks in complete sentences,0.1,positive
Powlichh 🤩,Powlichh ,0.0,negative
``Hier noch ein letztes Wort an den Thronräuber Biden und Genossen: ` Ihr habt mehr Feinde als ihr töten könntet - seid euch darüber klar!`,Hier noch ein letztes Wort an den Thronräuber Biden und Genossen  Ihr habt mehr Feinde als ihr töten könntet  seid euch darüber klar,0.0,negative
How can it be before December?,How can it be before December,0.0,negative
4:00 LMAOOOOO, LMAOOOOO,0.0,negative
"For 4 years, we almost forgot what it's like to hear a real president speak",For  years we almost forgot what its like to hear a real president speak,0.2,positive
"Get ready for Obomber & Clinton clicking up with The crime family. WAR,WAR,WAR!",Get ready for Obomber  Clinton clicking up with The crime family WARWARWAR,0.2,positive
"Imagine Peter Griffin walking in there like: Hey guys, sorry I’m late 😂😂",Imagine Peter Griffin walking in there like Hey guys sorry Im late ,-0.4,negative
So cute when he running,So cute when he running,0.5,positive
This year's selection was interesting.,This years selection was interesting,0.5,positive
Biden’s entrance looks like something straight out of wrestlemania,Bidens entrance looks like something straight out of wrestlemania,0.2,positive
Good to hear this,Good to hear this,0.7,positive
"(*looong and relaxing exhale)
Well done America, well done!","looong and relaxing exhale
Well done America well done",0.0,negative
He needs a theme song (call jim johnston),He needs a theme song call jim johnston,0.0,negative
Hairsniffer!!!!,Hairsniffer,0.0,negative
"From the youngest senator at 30, to the oldest president , he has come a long way !!!",From the youngest senator at  to the oldest president  he has come a long way ,-0.05,negative
Hunters bank account is getting ready...,Hunters bank account is getting ready,0.2,positive
I want this speech with subtitles,I want this speech with subtitles,0.0,negative
I want this speech with subtitles,I want this speech with subtitles,0.0,negative
"OH HECK yeah - not ""Make America great again"" but ""Make America respected all around the world again"" 
""listen to each other again"" god I'm crying this is so amazing","OH HECK yeah  not Make America great again but Make America respected all around the world again 
listen to each other again god Im crying this is so amazing",0.26875000000000004,positive
"Finally, a President who can construct full-sentences.",Finally a President who can construct fullsentences,0.0,negative
We are unable as we couldn’t honour you.,We are unable as we couldnt honour you,-0.5,negative
Really facts,Really facts,0.2,positive
CONGRATS MR JOE,CONGRATS MR JOE,0.0,negative
"Fraudster in Chief, C'mon Man!",Fraudster in Chief Cmon Man,0.0,negative
"Trump-  I am leaving White House.
Joe - Bi den","Trump  I am leaving White House
Joe  Bi den",0.0,negative
"Hello, I am from Iraq, a young man, I am 21 years old, living in Iraq with grief, no work, no work, nothing. I am a young man. I have the right to live my life with respect. I ask for help. Please help",Hello I am from Iraq a young man I am  years old living in Iraq with grief no work no work nothing I am a young man I have the right to live my life with respect I ask for help Please help,-0.01298701298701301,negative
"I regret, as we couldn’t assist you.",I regret as we couldnt assist you,0.0,negative
Check out this amazing trick shots video from the dude masters wow 🤩☺️😏,Check out this amazing trick shots video from the dude masters wow ,0.35000000000000003,positive
This is going to be an interesting four years.,This is going to be an interesting four years,0.5,positive
You know that it’s a special day when you’re not even American and still got goosebumps when harris announced joe,You know that its a special day when youre not even American and still got goosebumps when harris announced joe,0.17857142857142858,positive
"Selamat pagi AS
Dari Indonesia Russia🇮🇩🇮🇩🇷🇺🇷🇺🇺🇸🇺🇸","Selamat pagi AS
Dari Indonesia Russia",0.0,negative
hahahhaha this is gold....  I can’t wait to see their faces before getting in jail,hahahhaha this is gold  I cant wait to see their faces before getting in jail,-0.1,negative
The only thing still open in California is Kamalas legs.,The only thing still open in California is Kamalas legs,0.0,negative
jay mongol salute to usA from nepal.,jay mongol salute to usA from nepal,0.0,negative
"Entering with a mask? At last, a president that does not underestimate an enemy.",Entering with a mask At last a president that does not underestimate an enemy,0.0,negative
Creepy joe!🤣🤣,Creepy joe,-0.5,negative
Why am I even watching this.  I have tons of homework and I'm not even American.,Why am I even watching this  I have tons of homework and Im not even American,0.0,negative
He does give a resemblance of Ric Flair  actually.,He does give a resemblance of Ric Flair  actually,0.0,negative
Trump disliking video from several accounts,Trump disliking video from several accounts,0.0,negative
I'm kinda suprised at how Biden can slow jog in his late 70s 😂,Im kinda suprised at how Biden can slow jog in his late s ,-0.30000000000000004,negative
Joe runs like I do crossing the street when I want to look like I'm running but actually move at walking pace,Joe runs like I do crossing the street when I want to look like Im running but actually move at walking pace,0.0,negative
Biden and kamala are in their dreams only😂😂😂😂,Biden and kamala are in their dreams only,0.0,negative
Noone is even in the crowd they won't even show it for more than a half sec at a time,Noone is even in the crowd they wont even show it for more than a half sec at a time,0.07777777777777779,positive
We're all just chessmen for the power elite.,Were all just chessmen for the power elite,0.0,negative
This is the America we are all love 😍,This is the America we are all love ,0.5,positive
Let’s go mate.,Lets go mate,0.0,negative
Neda ga nana sacira😀😀😀😀,Neda ga nana sacira,0.0,negative
I hope he removes h1b restrictions 😉,I hope he removes hb restrictions ,0.0,negative
I like that bidens 4am pallets of ballots were numbered sequentially.,I like that bidens am pallets of ballots were numbered sequentially,0.0,negative
"You know that this is a big deal, when you aren’t from America and wonder why you are here ;-;

Edit: I didn’t expect this comment to blow up! Thanks for the likes~~","You know that this is a big deal when you arent from America and wonder why you are here 

Edit I didnt expect this comment to blow up Thanks for the likes",0.1,positive
i love the jog,i love the jog,0.5,positive
Good job  and God bless u,Good job  and God bless u,0.7,positive
Good luck guys,Good luck guys,0.7,positive
"You know that this is a big deal, when you aren’t from America and wonder why you are here ;-; Edit: I didn’t expect this comment to blow up! Thanks for the likes~~",You know that this is a big deal when you arent from America and wonder why you are here  Edit I didnt expect this comment to blow up Thanks for the likes,0.1,positive
I love how his speaches are about bringing people together and not apart.,I love how his speaches are about bringing people together and not apart,0.5,positive
Walter CoinCoin. Eаrn in this Tе-lеg-ram chan-nel.,Walter CoinCoin Eаrn in this Tеlеgram channel,0.0,negative
The season Finale of Black mirror: premiered by the BBC news,The season Finale of Black mirror premiered by the BBC news,-0.16666666666666666,negative
Board not confirm yet the result 🤐🤐,Board not confirm yet the result ,0.0,negative
"I am so happy..
From Bangladesh","I am so happy
From Bangladesh",0.8,positive
That's not even my country but I'm so happy for them to now have a legitimate leader as a president.,Thats not even my country but Im so happy for them to now have a legitimate leader as a president,0.8,positive
Congrats  im from.philppines,Congrats  im fromphilppines,0.0,negative
"Isn't he got a Medal of Freedom?
Damn his Voice isn't awesome?
Also that WWE sound a like and that running like a marathon.","Isnt he got a Medal of Freedom
Damn his Voice isnt awesome
Also that WWE sound a like and that running like a marathon",0.7,positive
كل عام وانتم بخیر 💓 الحب 💓,كل عام وانتم بخیر  الحب ,0.0,negative
Congratulations sir,Congratulations sir,0.0,negative
This is how a President of the U.S.A should conduct himself 🇺🇸,This is how a President of the USA should conduct himself ,0.0,negative
bruh he runs like usain,bruh he runs like usain,0.0,negative
The truth is powerful,The truth is powerful,0.3,positive
"“I pledge to be a President who seeks not to divide but unify, who doesn’t see Red States and Blue States but only sees the United States.” That's it. Make america better again. Welcome Nancy, Kamala and Julia.",I pledge to be a President who seeks not to divide but unify who doesnt see Red States and Blue States but only sees the United States Thats it Make america better again Welcome Nancy Kamala and Julia,0.26,positive
Didnt even knew that coffins could talk,Didnt even knew that coffins could talk,0.0,negative
I'm so amazed that this election is such a big deal to many not in the USA,Im so amazed that this election is such a big deal to many not in the USA,0.16666666666666666,positive
He wins? I thought it was not impassable,He wins I thought it was not impassable,0.3,positive
7:18,,0.0,negative
I'm a Kenyan. BUT.Welcome back America!!,Im a Kenyan BUTWelcome back America,0.0,negative
"Funny, just a few people. And micro phone sound so funny",Funny just a few people And micro phone sound so funny,0.175,positive
Playstation 5?,Playstation ,0.0,negative
Cool entry-level,Cool entrylevel,0.35,positive
At least he didn't stay playing despacito again 👍,At least he didnt stay playing despacito again ,-0.3,negative
"He runs on stage? 0:20 Wow, first day being president and he already does something Trump couldn’t 🤣🤣",He runs on stage  Wow first day being president and he already does something Trump couldnt ,0.175,positive
WHAT A ATTITUDE MR.PRESIDENT JOE,WHAT A ATTITUDE MRPRESIDENT JOE,0.0,negative
18 days he's going to sworn in as 46th president of the United States!, days hes going to sworn in as th president of the United States,0.0,negative
"Hi, I’m Russian, and I think my ruble will be die soon 👍🏻",Hi Im Russian and I think my ruble will be die soon ,0.0,negative
Awesome  kipdap,Awesome  kipdap,1.0,positive
I can see students analyzing this speech in school lol,I can see students analyzing this speech in school lol,0.8,positive
Congratulations His Excellency,Congratulations His Excellency,0.0,negative
"for this great speech,just make him the president. it suits his persona. 👍🏼🙏🙏",for this great speechjust make him the president it suits his persona ,0.8,positive
"I'm a native Dayak from Borneo Island 🇲🇾 (Lundayeh people )

Want to congratulate to next President of United States 🇺🇸 46","Im a native Dayak from Borneo Island  Lundayeh people 

Want to congratulate to next President of United States  ",0.0,negative
Love from Mars 👽👽 ❤️❤️,Love from Mars  ,0.5,positive
as 2020 Couldn't get any worse,as  Couldnt get any worse,-0.4,negative
ഹായ് എങ്ങോട്ടാ,ഹയ എങങടട,0.0,negative
"Don't these people have something called the ""conscience ""???? Or at least know that they will die one day???",Dont these people have something called the conscience  Or at least know that they will die one day,-0.3,negative
GOODBYE WEST PHILIPPINES SEA:(,GOODBYE WEST PHILIPPINES SEA,0.0,negative
"He makes you forget about the ""Orange dude"" with this speech. Never mentioning him once. That's looking forward....",He makes you forget about the Orange dude with this speech Never mentioning him once Thats looking forward,0.0,negative
@videoandaudioplus,videoandaudioplus,0.0,negative
They had to fill the crowd out with cars so people wouldn't see how few give a shit about him,They had to fill the crowd out with cars so people wouldnt see how few give a shit about him,-0.2,negative
Dude ran out like a WWE superstar on his way to the ring,Dude ran out like a WWE superstar on his way to the ring,0.0,negative
"😱👱🏻‍♀️...presiden jual budi, ""kalau tidak karena aku pasti tidak lahir....""",presiden jual budi kalau tidak karena aku pasti tidak lahir,0.0,negative
Who said he is sleepy?,Who said he is sleepy,0.0,negative
জো বাইডেন ধন্যবাদ আপনাকেই,জ বইডন ধনযবদ আপনকই,0.0,negative
Biden's entry was like as if he was 16 and was going to the Christmas tree for his gift,Bidens entry was like as if he was  and was going to the Christmas tree for his gift,0.0,negative
I congrats to Joe Sir,I congrats to Joe Sir,0.0,negative
Well see...,Well see,0.0,negative
We have been locked down for almost a year is this a freaking joke,We have been locked down for almost a year is this a freaking joke,-0.15555555555555559,negative
Wow this is great,Wow this is great,0.45,positive
0:19 he literally was running for president, he literally was running for president,0.0,negative
Hope for the truth,Hope for the truth,0.0,negative
Good speech,Good speech,0.7,positive
Biden is super rockstar,Biden is super rockstar,0.3333333333333333,positive
"biden vs. windsor, is there kill count of this movie...",biden vs windsor is there kill count of this movie,0.0,negative
""" I work hard for those who didn't vote for me as well as for those who voted me""- Joe Biden... That's The President of USA", I work hard for those who didnt vote for me as well as for those who voted me Joe Biden Thats The President of USA,-0.2916666666666667,negative
That’s my president 💙❤️🤍,Thats my president ,0.0,negative
I see what Steve Rogers did with those infinity stones.. good job cap!,I see what Steve Rogers did with those infinity stones good job cap,0.7,positive
Why why why? JB,Why why why JB,0.0,negative
"Very inspiring speech. Time to  build bridges, time to cooperate.",Very inspiring speech Time to  build bridges time to cooperate,0.65,positive
"I'm not even American, but I was so relieved when Biden won, I nearly cried! I'm so happy for you America, the best of wishes from Greece!",Im not even American but I was so relieved when Biden won I nearly cried Im so happy for you America the best of wishes from Greece,0.475,positive
WHO WON ?,WHO WON ,0.0,negative
His speaking tone so close to Obama lmao,His speaking tone so close to Obama lmao,0.6,positive
That is Jim carrey haha,That is Jim carrey haha,0.2,positive
Mr Alzheimer’s,Mr Alzheimers,0.0,negative
Looks like America just socially distanced Trump. Lol,Looks like America just socially distanced Trump Lol,0.4166666666666667,positive
"Kaash ye shaks ab in desho se apni sena bula le jin deshon ko America ne qabristan bana diya hai 

Iraq, pilastine, syria afghanistan","Kaash ye shaks ab in desho se apni sena bula le jin deshon ko America ne qabristan bana diya hai 

Iraq pilastine syria afghanistan",0.0,negative
YES !!!!!!!!!!!!!!!!!!!!!!,YES ,0.0,negative
"They're taking away our right to vote by rigging the election. They are taking away our right to speak through censorship. They're backing us into a corner, but we have the right of revolution and they can't take that away.",Theyre taking away our right to vote by rigging the election They are taking away our right to speak through censorship Theyre backing us into a corner but we have the right of revolution and they cant take that away,0.2857142857142857,positive
joe kinda cute ngl lie 0_0,joe kinda cute ngl lie _,0.5,positive
I'm not from USA but still smiling like a fool watching him speak 😭,Im not from USA but still smiling like a fool watching him speak ,0.0,negative
We love you joe! Love from China.,We love you joe Love from China,0.5,positive
Talk about putting the cart before the horse.,Talk about putting the cart before the horse,0.0,negative
Blahahaha these jokeers crack me up,Blahahaha these jokeers crack me up,0.0,negative
Big fat asterisk by that title.,Big fat asterisk by that title,0.0,negative
"As an American I want to thank the people from around the world who have had our back. I know we haven't been at our best as late, but you never really abandoned us. I promise we will try to be those annoying as hell, while still always having your back, bizarrely up beat, friendly, welcoming, and inclusive country bumpkins you all like us to be again.",As an American I want to thank the people from around the world who have had our back I know we havent been at our best as late but you never really abandoned us I promise we will try to be those annoying as hell while still always having your back bizarrely up beat friendly welcoming and inclusive country bumpkins you all like us to be again,0.06388888888888888,positive
Good luck usa harris is so excited hahaha,Good luck usa harris is so excited hahaha,0.425,positive
জো বাইডেন ধন্যবাদ আপনাকে,জ বইডন ধনযবদ আপনক,0.0,negative
জো বাইডেন ধন্যবাদ আপনাকে,জ বইডন ধনযবদ আপনক,0.0,negative
please wait,please wait,0.0,negative
So this is what a President speaks like...,So this is what a President speaks like,0.0,negative
Not alot of social distance going on here 🙄,Not alot of social distance going on here ,0.03333333333333333,positive
Go sleep 😂😂😂😂😂,Go sleep ,0.0,negative
Without people!!!!!,Without people,0.0,negative
Crack is a helluva drug,Crack is a helluva drug,0.0,negative
The whole world's eyes are on this man now.,The whole worlds eyes are on this man now,0.2,positive
He Looks very attractive for Americans,He Looks very attractive for Americans,1.0,positive
"AMERICA NEEDS THE PROMISED STIMULUS PACKAGE, NOT MORE PROCRASTINATION!",AMERICA NEEDS THE PROMISED STIMULUS PACKAGE NOT MORE PROCRASTINATION,-0.25,negative
I wonder how Fox News is taking this,I wonder how Fox News is taking this,0.0,negative
Will he make it to next year?😎,Will he make it to next year,0.0,negative
after 4 years we almost forgot how a real president sounds like,after  years we almost forgot how a real president sounds like,0.2,positive
Great jeo baiden,Great jeo baiden,0.8,positive
Sleepy Joe go nite- nite,Sleepy Joe go nite nite,0.0,negative
👍🏻,,0.0,negative
Congratulations 👏👏👏👏👏👏,Congratulations ,0.0,negative
I never thought i would Miss a presidential blabla so much.,I never thought i would Miss a presidential blabla so much,0.2,positive
OMG!    only  are  just  like...    sixty   cars  there  ¿80.000.000  votes?   3:06,OMG    only  are  just  like    sixty   cars  there    votes   ,0.0,negative
Im surprised he managed to memorize such a long speech,Im surprised he managed to memorize such a long speech,0.016666666666666666,positive
Congratulations,Congratulations,0.0,negative
That jog is the reference of Obama Hussein II and Him jogging together in the White House,That jog is the reference of Obama Hussein II and Him jogging together in the White House,0.0,negative
"Grandfather at 77: OLD
Joe: Experienced, jogger, president","Grandfather at  OLD
Joe Experienced jogger president",0.45,positive
Allow me take fly there,Allow me take fly there,0.8,positive
it feels like America again yes!,it feels like America again yes,0.0,negative
JendRAL 5STAR INDONESIA  KOPASUS,JendRAL STAR INDONESIA  KOPASUS,0.0,negative
JendRAL 5STAR INDONESIA  KOPASUS,JendRAL STAR INDONESIA  KOPASUS,0.0,negative
"Lol biden got that WWE entrance going on 😂 

Love him tho","Lol biden got that WWE entrance going on  

Love him tho",0.65,positive
The table turns around!,The table turns around,0.0,negative
Finally,Finally,0.0,negative
ЭТО САМОЗВАНЕЦ...,ЭТО САМОЗВАНЕЦ,0.0,negative
El cabal oscuro jamás el mal estará siempre sobre el bien,El cabal oscuro jamás el mal estará siempre sobre el bien,0.0,negative
This guy sounded more like a president in 16 minutes than trump sounded his whole life,This guy sounded more like a president in  minutes than trump sounded his whole life,0.35,positive
This is the voice we had been missing for the whole years after President Obama ends his terms,This is the voice we had been missing for the whole years after President Obama ends his terms,0.0,negative
Professional politician speaking,Professional politician speaking,0.1,positive
"Barak Obama and he got the same voice
 agreed??
Smatch like","Barak Obama and he got the same voice
 agreed
Smatch like",0.0,negative
Fantastic✌,Fantastic,0.4,positive
That running in the beginning better be a meme,That running in the beginning better be a meme,0.5,positive
Folks lol,Folks lol,0.8,positive
love you john biden from pakistan,love you john biden from pakistan,0.5,positive
Wish you all the best dr President. From sri lanka. You have true and honest smile.,Wish you all the best dr President From sri lanka You have true and honest smile,0.5625,positive
Celebrating too early,Celebrating too early,0.1,positive
And that's how a sane human being make a speech,And thats how a sane human being make a speech,0.0,negative
EXPECTANCIES?????,EXPECTANCIES,0.0,negative
Amen and Amen,Amen and Amen,0.0,negative
everyone knows hes gonna save are asses,everyone knows hes gonna save are asses,0.0,negative
Joe the jogger,Joe the jogger,0.0,negative
What? Old Captain America from Endgame got elected as President?,What Old Captain America from Endgame got elected as President,0.1,positive
💛💚💛💚💛💚💛💚💛💚BIDEN n faz nada com BRASIL pfv nos AMA muito USA💚💛💚💛💚💛💚💛💚,BIDEN n faz nada com BRASIL pfv nos AMA muito USA,0.0,negative
Nothing more America then seeing pickup trucks in the crowd lol,Nothing more America then seeing pickup trucks in the crowd lol,0.65,positive
Can't wait for a South Park episode about this.,Cant wait for a South Park episode about this,0.0,negative
President with experience ❣️,President with experience ,0.0,negative
God all base with true parsan wahguru ji  all base with Trudeau family all mp all  team,God all base with true parsan wahguru ji  all base with Trudeau family all mp all  team,-0.4166666666666667,negative
"1. Pause count
2. Upload algorithm
3. Calculate vote deficit
4. Upload deficit total +"," Pause count
 Upload algorithm
 Calculate vote deficit
 Upload deficit total ",0.0,negative
whoooooooo,whoooooooo,0.0,negative
"Why am I crying, I’m not even American 😂",Why am I crying Im not even American ,-0.1,negative
well said speech,well said speech,0.0,negative
When last did you hear an American president sounding Presidential?,When last did you hear an American president sounding Presidential,0.0,negative
I thought he was going to sing a song😀bdw future seems brighter like his forehead,I thought he was going to sing a songbdw future seems brighter like his forehead,0.0,negative
"Joe Biden says
cheap alcohol
one glass = ok
two glasses = you are rude","Joe Biden says
cheap alcohol
one glass  ok
two glasses  you are rude",0.20000000000000004,positive
"As a European, I am so happy for you guys! But also for us and for the rest of the world. Finally, some unity.",As a European I am so happy for you guys But also for us and for the rest of the world Finally some unity,0.26666666666666666,positive
wooooooohooooo,wooooooohooooo,0.0,negative
thats china bought  huhuhu,thats china bought  huhuhu,0.0,negative
"Obama be like: ""THAT'S MAAA BOIIIIIII""
Edit 1: thank you guys for your likes 😌
Hope for better relationship btw India and America 🇮🇳🇺🇲","Obama be like THATS MAAA BOIIIIIII
Edit  thank you guys for your likes 
Hope for better relationship btw India and America ",0.5,positive
Hope he won't be put in jail.,Hope he wont be put in jail,-0.1,negative
Congratulations,Congratulations,0.0,negative
Nice to see kamala and biden. Honest people,Nice to see kamala and biden Honest people,0.6,positive
"""My fellow Americans"" has never sounded so good",My fellow Americans has never sounded so good,0.7,positive
Let go Warrior!!! You are the best!!,Let go Warrior You are the best,1.0,positive
Ahhaha whats this mcman from. Wrestling 😂,Ahhaha whats this mcman from Wrestling ,0.0,negative
This is what a president is supposed to sound like,This is what a president is supposed to sound like,0.4,positive
Cracking speech,Cracking speech,0.0,negative
"Im not even American, but this seriously brought tears to my eyes :,)",Im not even American but this seriously brought tears to my eyes ,-0.16666666666666666,negative
1 billion people likes this, billion people likes this,0.0,negative
Too early to call.,Too early to call,0.1,positive
Running man joe biden,Running man joe biden,0.0,negative
Congratulations to new USA!,Congratulations to new USA,0.13636363636363635,positive
You know when the world treats the news of you losing your job like the death star blew up you made some questionable choices,You know when the world treats the news of you losing your job like the death star blew up you made some questionable choices,-0.5,negative
"How many cars can you really put into that place 🤔 
Did he talk about jobs?  Anyone 🤫","How many cars can you really put into that place  
Did he talk about jobs  Anyone ",0.35,positive
Alzheimer became president,Alzheimer became president,0.0,negative
Azerbaijan super👌👌👍👍👍💋💋❤❤,Azerbaijan super,0.3333333333333333,positive
"He looks sharp now , got his speeches right 😬",He looks sharp now  got his speeches right ,0.08035714285714285,positive
"How refreshing: a positive, professional speech uniting everyone together.",How refreshing a positive professional speech uniting everyone together,0.27575757575757576,positive
eletion is not finish,eletion is not finish,0.0,negative
Supper,Supper,0.0,negative
I'm happy that we won,Im happy that we won,0.8,positive
Can We Still Get Tiktok Banned?,Can We Still Get Tiktok Banned,0.0,negative
Biden: Make America Respected Again,Biden Make America Respected Again,0.0,negative
Woooow,Woooow,0.0,negative
Okay.,Okay,0.5,positive
No caption closed 👎,No caption closed ,-0.1,negative
"That's what 80 million voters looks like. 
C'mon maannn","Thats what  million voters looks like 
Cmon maannn",0.0,negative
"""Folks !"" .. it actually sounds like he cares.",Folks   it actually sounds like he cares,0.0,negative
It's wwe entrance like a superstar runs to arena in the royal rumble🤣🤣,Its wwe entrance like a superstar runs to arena in the royal rumble,0.0,negative
What a great conference mr. BIDEN👍,What a great conference mr BIDEN,0.8,positive
I- i pronounced his name beeden,I i pronounced his name beeden,0.0,negative
"""If you didn't vote for me, you ain't dead"" Clyde Biden & Bonnie Harris",If you didnt vote for me you aint dead Clyde Biden  Bonnie Harris,-0.2,negative
"“Folks!”

-Joe Biden","Folks

Joe Biden",0.0,negative
Wow 😳,Wow ,0.1,positive
This is great. Congratulations Joe!,This is great Congratulations Joe,0.8,positive
Im not even American but Im extremely glad that America has this amazing president. Love from england 🏴󠁧󠁢󠁥󠁮󠁧󠁿,Im not even American but Im extremely glad that America has this amazing president Love from england ,0.4,positive
"Imagine if he said "" sup fam, thanks y'all we living Gucci in the white house, my dude got clapped real hard but like orange was sus from the beginning  no 🧢, um Chile anyways gtg"" and dipped",Imagine if he said  sup fam thanks yall we living Gucci in the white house my dude got clapped real hard but like orange was sus from the beginning  no  um Chile anyways gtg and dipped,-0.07916666666666666,negative
Obama: I raised that boy,Obama I raised that boy,0.0,negative
God bless you pres♥️♥️♥️😊,God bless you pres,0.0,negative
Azerbaijan country❤👍👍💋,Azerbaijan country,0.0,negative
whos joe,whos joe,0.0,negative
Can’t wait to see the trumpet supporters in this video haha,Cant wait to see the trumpet supporters in this video haha,0.2,positive
I am not American but I am so damned proud of what I see.,I am not American but I am so damned proud of what I see,0.4,positive
God help us,God help us,0.0,negative
Cool joe biden,Cool joe biden,0.35,positive
BALLOT COUNTING ABUSE!,BALLOT COUNTING ABUSE,0.0,negative
now this is a presidential speech,now this is a presidential speech,0.0,negative
"I don't know if Joe is on a high, or is well rested, but he sounds extremely stable and alert here.",I dont know if Joe is on a high or is well rested but he sounds extremely stable and alert here,0.0175,positive
What aaaa wrestling jog joe.,What aaaa wrestling jog joe,0.0,negative
yay.... more wars....,yay more wars,0.5,positive
Now it’s ok to do a rally?! Lmbo umm ok,Now its ok to do a rally Lmbo umm ok,0.5,positive
"Well said Mr. President 👏😊😊 
Love from Philippines ❤","Well said Mr President  
Love from Philippines ",0.5,positive
From Germany to all Americans: Thank you. So. Much 🤝🙏,From Germany to all Americans Thank you So Much ,0.2,positive
Am Ur 10 millionth sub lol,Am Ur  millionth sub lol,0.8,positive
